timestamp,ax,ay,az,roll,pitch,wx,wy,wz,mx,my,mz
1605537053.94596601,1.01162400,0.04196800,0.00817400,2.40944123,-87.82216216,-0.25156250,0.76620250,-0.11817750,-0.41888337,-1.62730196,0.44972230
1605537054.00861335,1.01186800,0.04001600,0.01659200,2.29824142,-87.76077937,-0.18156250,0.76620250,0.05682250,-0.41888337,-1.62730196,0.44972230
1605537054.07118964,1.01321000,0.04172400,0.00793000,2.39275636,-87.81105474,-0.32156250,0.66120250,-0.01317750,-0.41727565,-1.62028647,0.44621456
1605537054.13384724,1.01101400,0.04172400,0.01415200,2.40085584,-87.71267603,-0.04156250,0.41620250,-0.04817750,-0.41873721,-1.62759427,0.44752996
1605537054.19668150,1.01077000,0.04087000,0.01073600,2.35536152,-87.81189458,0.16843750,0.27620250,-0.18817750,-0.41873721,-1.62759427,0.44752996
1605537054.25930572,1.01211200,0.04087000,0.01610400,2.23327505,-87.83182643,-0.00656250,-0.35379750,-0.11817750,-0.41493715,-1.62116340,0.44592224
1605537054.32193565,1.01138000,0.04221200,0.01866600,2.26906176,-87.73877632,-0.00656250,0.80120250,0.05682250,-0.41508331,-1.62174803,0.44782227
1605537054.38469434,1.01260000,0.04148000,0.01342000,2.38251631,-87.74361355,-0.18156250,0.41620250,0.09182250,-0.41508331,-1.62174803,0.44782227
1605537054.44727015,1.01101400,0.04184600,0.01342000,2.23839392,-87.87795083,0.02843750,0.55620250,-0.32817750,-0.41859106,-1.62730196,0.44592224
1605537054.50999308,1.01174600,0.04172400,0.01159000,2.32966042,-87.87411063,-0.04156250,0.48620250,-0.11817750,-0.41961415,-1.61736334,0.44972230
1605537054.57267666,1.01186800,0.04196800,0.01586000,2.30744487,-87.85268989,0.13343750,0.06620250,0.19682250,-0.41961415,-1.61736334,0.44972230
1605537054.63797736,1.01247800,0.03965000,0.01403000,2.27493905,-87.83488433,0.37843750,-0.59879750,-0.29317750,-0.42166033,-1.62364806,0.44942999
1605537054.70064569,1.01211200,0.04221200,0.00573400,2.43246895,-87.79155147,0.23843750,0.03120250,-0.32817750,-0.41917568,-1.62174803,0.44826074
1605537054.76334763,1.01077000,0.04367600,0.02244800,2.50691080,-87.43140148,-0.32156250,1.11620250,0.05682250,-0.41917568,-1.62174803,0.44826074
1605537054.82621527,1.01418600,0.04257800,0.00549000,2.62519091,-87.60256035,-0.00656250,0.34620250,0.09182250,-0.41654487,-1.62218650,0.45089155
1605537054.88880515,1.01138000,0.04270000,0.01915400,2.27460232,-87.72209985,-0.18156250,0.62620250,0.09182250,-0.41654487,-1.62218650,0.45089155
1605537054.95161510,1.01223400,0.04294400,0.00183000,2.69160250,-87.55246226,-0.25156250,-0.10879750,-0.11817750,-0.41902952,-1.62291728,0.44840690
1605537055.01449704,1.01321000,0.04172400,0.01830000,2.22147525,-87.79050307,-0.32156250,1.78120250,0.26682250,-0.41581409,-1.61853259,0.45103771
1605537055.07712221,1.01016000,0.04123600,0.01756800,2.32908097,-87.69629428,-0.14656250,-0.14379750,-0.15317750,-0.41581409,-1.61853259,0.45103771
